重量 / 回数,2,3,4,5,6,7,8,9,10,11,12
40,42,43,44,45,46,47,48,49,50,51,52
42.5,45,46,47,48,49,50,51,52,53,54,55
45,47,48,50,51,52,53,54,55,56,57,59
47.5,50,51,52,53,55,56,57,58,59,61,62
50,53,54,55,56,58,59,60,61,63,64,65
52.5,55,56,58,59,60,62,63,64,66,67,68
55,58,59,61,62,63,65,66,67,69,70,72
57.5,60,62,63,65,66,68,69,70,72,73,75
60,63,65,66,68,69,71,72,74,75,77,78
62.5,66,67,69,70,72,73,75,77,78,80,81
65,68,70,72,73,75,76,78,80,81,83,85
67.5,71,73,74,76,78,79,81,83,84,86,88
70,74,75,77,79,81,82,84,86,88,89,91
72.5,76,78,80,82,83,85,87,89,91,92,94
75,79,81,83,84,86,88,90,92,94,96,98
77.5,81,83,85,87,89,91,93,95,97,99,101
80,84,86,88,90,92,94,96,98,100,102,104
82.5,87,89,91,93,95,97,99,101,103,105,107
85,89,91,94,96,98,100,102,104,106,108,111
87.5,92,94,96,98,101,103,105,107,109,112,114
90,95,97,99,101,104,106,108,110,113,115,117
92.5,97,99,102,104,106,109,111,113,116,118,120
95,100,102,105,107,109,112,114,116,119,121,124
97.5,102,105,107,110,112,115,117,119,122,124,127
100,105,108,110,113,115,118,120,123,125,128,130
102.5,108,110,113,115,118,120,123,126,128,131,133
105,110,113,116,118,121,123,126,129,131,134,137
107.5,113,116,118,121,124,126,129,132,134,137,140
110,116,118,121,124,127,129,132,135,138,140,143
112.5,118,121,124,127,129,132,135,138,141,143,146
115,121,124,127,129,132,135,138,141,144,147,150
117.5,123,126,129,132,135,138,141,144,147,150,153
120,126,129,132,135,138,141,144,147,150,153,156
122.5,129,132,135,138,141,144,147,150,153,156,159
125,131,134,138,141,144,147,150,153,156,159,163
127.5,134,137,140,143,147,150,153,156,159,163,166
130,137,140,143,146,150,153,156,159,163,166,169
132.5,139,142,146,149,152,156,159,162,166,169,172
135,142,145,149,152,155,159,162,165,169,172,176
137.5,144,148,151,155,158,162,165,168,172,175,179
140,147,151,154,158,161,165,168,172,175,179,182
142.5,150,153,157,160,164,167,171,175,178,182,185
145,152,156,160,163,167,170,174,178,181,185,189
147.5,155,159,162,166,170,173,177,181,184,188,192
150,158,161,165,169,173,176,180,184,188,191,195
152.5,160,164,168,172,175,179,183,187,191,194,198
155,163,167,171,174,178,182,186,190,194,198,202
157.5,165,169,173,177,181,185,189,193,197,201,205
160,168,172,176,180,184,188,192,196,200,204,208
162.5,171,175,179,183,187,191,195,199,203,207,211
165,173,177,182,186,190,194,198,202,206,210,215
167.5,176,180,184,188,193,197,201,205,209,214,218
170,179,183,187,191,196,200,204,208,213,217,221
172.5,181,185,190,194,198,203,207,211,216,220,224
175,184,188,193,197,201,206,210,214,219,223,228
177.5,186,191,195,200,204,209,213,217,222,226,231
180,189,194,198,203,207,212,216,221,225,230,234
182.5,192,196,201,205,210,214,219,224,228,233,237
185,194,199,204,208,213,217,222,227,231,236,241
187.5,197,202,206,211,216,220,225,230,234,239,244
190,200,204,209,214,219,223,228,233,238,242,247
192.5,202,207,212,217,221,226,231,236,241,245,250
195,205,210,215,219,224,229,234,239,244,249,254
197.5,207,212,217,222,227,232,237,242,247,252,257
200,210,215,220,225,230,235,240,245,250,255,260
202.5,213,218,223,228,233,238,243,248,253,258,263
205,215,220,226,231,236,241,246,251,256,261,267
207.5,218,223,228,233,239,244,249,254,259,265,270
210,221,226,231,236,242,247,252,257,263,268,273
212.5,223,228,234,239,244,250,255,260,266,271,276
215,226,231,237,242,247,253,258,263,269,274,280
217.5,228,234,239,245,250,256,261,266,272,277,283
220,231,237,242,248,253,259,264,270,275,281,286
222.5,234,239,245,250,256,261,267,273,278,284,289
225,236,242,248,253,259,264,270,276,281,287,293
227.5,239,245,250,256,262,267,273,279,284,290,296
230,242,247,253,259,265,270,276,282,288,293,299
232.5,244,250,256,262,267,273,279,285,291,296,302
235,247,253,259,264,270,276,282,288,294,300,306
237.5,249,255,261,267,273,279,285,291,297,303,309
240,252,258,264,270,276,282,288,294,300,306,312
242.5,255,261,267,273,279,285,291,297,303,309,315
245,257,263,270,276,282,288,294,300,306,312,319
247.5,260,266,272,278,285,291,297,303,309,316,322
250,263,269,275,281,288,294,300,306,313,319,325
252.5,265,271,278,284,290,297,303,309,316,322,328
255,268,274,281,287,293,300,306,312,319,325,332
257.5,270,277,283,290,296,303,309,315,322,328,335
260,273,280,286,293,299,306,312,319,325,332,338
262.5,276,282,289,295,302,308,315,322,328,335,341
265,278,285,292,298,305,311,318,325,331,338,345
267.5,281,288,294,301,308,314,321,328,334,341,348
270,284,290,297,304,311,317,324,331,338,344,351
272.5,286,293,300,307,313,320,327,334,341,347,354
275,289,296,303,309,316,323,330,337,344,351,358
277.5,291,298,305,312,319,326,333,340,347,354,361
280,294,301,308,315,322,329,336,343,350,357,364
282.5,297,304,311,318,325,332,339,346,353,360,367
285,299,306,314,321,328,335,342,349,356,363,371
287.5,302,309,316,323,331,338,345,352,359,367,374
290,305,312,319,326,334,341,348,355,363,370,377
292.5,307,314,322,329,336,344,351,358,366,373,380
295,310,317,325,332,339,347,354,361,369,376,384
297.5,312,320,327,335,342,350,357,364,372,379,387
300,315,323,330,338,345,353,360,368,375,383,390
